Contact_Information_ID,Student_ID,Email,Primary_YN
1,1,egonzalez0@purevolume.com,Y
2,2,alarson1@hatena.ne.jp,Y
3,3,ktucker2@fema.gov,Y
4,4,dcarr3@craigslist.org,Y
5,5,cbailey4@harvard.edu,Y
6,6,fpalmer5@stanford.edu,Y
7,7,sbishop6@google.co.uk,Y
8,8,lwheeler7@people.com.cn,Y
9,9,ahunt8@privacy.gov.au,Y
10,10,pcampbell9@pinterest.com,Y
11,11,tfowlera@mlb.com,Y
12,12,npayneb@amazon.de,Y
13,13,egonzalesc@abc.net.au,Y
14,14,jblackd@seattletimes.com,Y
15,15,cpowelle@geocities.com,Y
16,16,vricef@walmart.com,Y
17,17,rweaverg@elegantthemes.com,Y
18,18,bfloresh@admin.ch,Y
19,19,pgrayi@barnesandnoble.com,Y
20,20,lfisherj@deliciousdays.com,Y
21,21,jpetersonk@cdbaby.com,Y
22,22,rjacksonl@salon.com,Y
23,23,kriveram@addthis.com,Y
24,24,jramosn@prweb.com,Y
25,25,mrussello@sciencedaily.com,Y
26,26,cdeanp@acquirethisname.com,Y
27,27,bharveyq@engadget.com,Y
28,28,hgreenr@webmd.com,Y
29,29,rgardners@redcross.org,Y
30,30,abennettt@desdev.cn,Y
31,31,dmyersu@google.ca,Y
32,32,csandersv@xing.com,Y
33,33,jjohnstonw@github.io,Y
34,34,smoralesx@ycombinator.com,Y
35,35,jgibsony@lycos.com,Y
36,36,darnoldz@jimdo.com,Y
37,37,bdixon10@sbwire.com,Y
38,38,hharris11@creativecommons.org,Y
39,39,jpeterson12@disqus.com,Y
40,40,croberts13@unesco.org,Y
41,41,cscott14@jigsy.com,Y
42,42,wjohnson15@dailymail.co.uk,Y
43,43,poliver16@miitbeian.gov.cn,Y
44,44,nross17@time.com,Y
45,45,gpeters18@cmu.edu,Y
46,46,truiz19@vimeo.com,Y
47,47,gsullivan1a@berkeley.edu,Y
48,48,clopez1b@uiuc.edu,Y
49,49,jwelch1c@last.fm,Y
50,50,jmatthews1d@quantcast.com,Y
51,51,rburton1e@techcrunch.com,Y
52,52,tolson1f@examiner.com,Y
53,53,aray1g@reference.com,Y
54,54,drice1h@51.la,Y
55,55,abishop1i@psu.edu,Y
56,56,agray1j@xing.com,Y
57,57,wtorres1k@miitbeian.gov.cn,Y
58,58,jrichards1l@paypal.com,Y
59,59,abowman1m@virginia.edu,Y
60,60,tlawson1n@nbcnews.com,Y
61,61,kmitchell1o@deliciousdays.com,Y
62,62,felliott1p@japanpost.jp,Y
63,63,lalexander1q@washington.edu,Y
64,64,swilliamson1r@mail.ru,Y
65,65,kwilson1s@seesaa.net,Y
66,66,dcastillo1t@uol.com.br,Y
67,67,ppalmer1u@admin.ch,Y
68,68,lcarr1v@adobe.com,Y
69,69,mmorgan1w@vimeo.com,Y
70,70,pjenkins1x@forbes.com,Y
71,71,ereid1y@shinystat.com,Y
72,72,jedwards1z@bravesites.com,Y
73,73,bramos20@elpais.com,Y
74,74,sevans21@hexun.com,Y
75,75,spowell22@ifeng.com,Y
76,76,emoore23@gnu.org,Y
77,77,crobinson24@51.la,Y
78,78,twright25@japanpost.jp,Y
79,79,cmorrison26@nba.com,Y
80,80,ssanders27@gmpg.org,Y
81,81,kmorgan28@house.gov,Y
82,82,agraham29@twitter.com,Y
83,83,jwalker2a@harvard.edu,Y
84,84,clynch2b@bizjournals.com,Y
85,85,jhill2c@forbes.com,Y
86,86,bcarter2d@amazonaws.com,Y
87,87,jtucker2e@angelfire.com,Y
88,88,kwatson2f@home.pl,Y
89,89,gstewart2g@eepurl.com,Y
90,90,lmorris2h@liveinternet.ru,Y
91,91,rholmes2i@nsw.gov.au,Y
92,92,jthompson2j@dyndns.org,Y
93,93,garnold2k@storify.com,Y
94,94,stucker2l@tmall.com,Y
95,95,mvasquez2m@dyndns.org,Y
96,96,dalvarez2n@irs.gov,Y
97,97,fmcdonald2o@rediff.com,Y
98,98,jmartin2p@uiuc.edu,Y
99,99,ewebb2q@census.gov,Y
100,100,agray2r@list-manage.com,N
101,45,gpeters181@cmu.edu,N
102,46,truiz191@vimeo.com,N
103,47,gsullivan1a1@berkeley.edu,N
104,48,clopez1b1@uiuc.edu,N
105,49,jwelch1c1@last.fm,N
106,50,jmatthews1d1@quantcast.com,N
107,51,rburton1e1@techcrunch.com,N
108,52,tolson1f1@examiner.com,N
109,53,aray1g1@reference.com,N
110,54,drice1h1@51.la,N
111,55,abishop1i1@psu.edu,N
112,56,agray1j1@xing.com,N
113,57,wtorres1k1@miitbeian.gov.cn,N
114,58,jrichards1l1@paypal.com,N
115,59,abowman1m1@virginia.edu,N
116,60,tlawson1n1@nbcnews.com,N
117,61,kmitchell1o1@deliciousdays.com,N
118,62,felliott1p@japanpost.jp,N
119,63,lalexander1q1@washington.edu,N
120,64,swilliamson1r1@mail.ru,N
121,65,kwilson1s1@seesaa.net,N
